Id   |Name                                 |!|Country                                   |Sponsor                                                              |Host                                                    |Distance  |Latency
10019|Piotrków Trybunalski                 |+|Poland                                    |PUH Vatus                                                            |speedtest.stalelacze.pl:8080                            |352294.6  |0
11387|Sosnowiec                            |+|Poland                                    |SMSnet                                                               |speedtest2.smsnet.pl:8080                               |353072.0  |0
20316|Sosnowiec                            |+|Poland                                    |Rudna-Net                                                            |speedtest.rudna-net.pl:8080                             |353072.0  |0
5987 |Bedzin                               |+|Poland                                    |ETTH                                                                 |etth.pl:8080                                            |353486.6  |0
26007|Bedzin                               |+|Poland                                    |Cyber Grota                                                          |speedtest2.cybergrota.com.pl:8080                       |353486.6  |0
11351|Ledziny                              |+|Poland                                    |sblinternet                                                          |speedtest.sblinternet.pl:8080                           |353956.2  |0
17569|Bielsko-Biała                        |+|Poland                                    |Multi-NET Infrastruktura Sp. z o.o.                                  |speed.multi-net.eu:8080                                 |356708.4  |0
25259|Bielsko-Biała                        |+|Poland                                    |AJC S.C.                                                             |st.ajc.com.pl:8080                                      |356708.4  |0
10088|Bielsko-Biała                        |+|Poland                                    |M3.NET Sp. z o.o. Sp. k.                                             |speedtest.m3.net.pl:8080                                |356708.4  |0
2727 |Bielsko-Biala                        |+|Poland                                    |Simant                                                               |st1.simant.pl:8080                                      |357712.3  |0
5279 |Lapy                                 |+|Poland                                    |FALCONN                                                              |speedtest1.falconn.pl:8080                              |358719.2  |0
7203 |Katowice                             |+|Poland                                    |Orange Polska S.A.                                                   |kat-o1.speedtest.orange.pl:8080                         |361134.1  |0
1721 |Katowice                             |+|Poland                                    |Systel                                                               |speedtest.systel.pl:8080                                |361134.1  |0
17668|Katowice                             |+|Poland                                    |Oxylion S.A                                                          |speedtest-kat-01.oxylion.net.pl:8080                    |361134.1  |0
21760|Detva                                |+|Slovakia                                  |NetSpace s.r.o.                                                      |speedtest.netspace.sk:8080                              |364326.7  |0
7695 |Czestochowa                          |+|Poland                                    |Polskie Sieci Szerokopasmowe Sp. z.o.o.                              |s1.polskiesieciszerokopasmowe.pl:8080                   |364832.8  |0
11307|Mikolow                              |+|Poland                                    |Miconet sp. z o.o.                                                   |monitoring.multimetro.pl:8080                           |368522.7  |0
12678|Sovata                               |+|Romania                                   |Digicomm                                                             |speedtest.digicomm.ro:8080                              |369237.4  |0
7073 |Choroszcz                            |+|Poland                                    |TVK-NET  PPHU A&K Chamerlinscy                                       |speedtest.tvk-net.pl:8080                               |369253.3  |0
8060 |Bialystok                            |+|Poland                                    |Elpos Sp z o.o.                                                      |speedtest.elpos.net:8080                                |369253.3  |0
6846 |Bialystok                            |+|Poland                                    |Telekomunikacja Podlasie sp. z o.o.                                  |www.testinternetu.pl:8080                               |369253.3  |0
22755|Białystok                            |+|Poland                                    |KoBa Sp. z o.o.                                                      |test.koba.pl:8080                                       |369253.3  |0
6532 |Bialystok                            |+|Poland                                    |Euronet Norbert Saniewski Spo?ka Jawna                               |speedtest.euro-net.pl:8080                              |369253.3  |0
10568|Zambrow                              |+|Poland                                    |TEPSANET NOWACCY Sp.J.                                               |speedtest.tepsanet.pl:8080                              |370677.4  |0
